,original_organization_name,new_organization_name,organization_status,summary_of_organization,ten_keywords_describing_organization,estimated_funding,source_estimated_funding,estimated_number_of_employees,source_estimated_number_of_employees
513,RCFL,RCFL (Regional Computer Forensics Laboratory),['Active'],"The RCFLs (Regional Computer Forensics Laboratories) are a network of FBI labs and training centers that focus on the examination of digital evidence in support of criminal investigations. They provide forensic services and training to law enforcement for handling digital evidence related to various types of crimes such as terrorism, financial crime, and cybercrime.","['Digital Forensics', 'Evidence Examination', 'Law Enforcement Training', 'Cybercrime', 'Terrorism', 'Financial Crime', 'Intellectual Property Theft', 'Criminal Investigations', 'Regional Laboratories', 'FBI']",Not publicly available,Federal budget allocations for the Department of Justice,Approximately 200,Internal Department reports and staffing information
514,Presidential Management Fellows,Presidential Management Fellows,['Active'],The Presidential Management Fellows (PMF) program is a prestigious leadership program in the federal government for individuals with advanced degrees. It aims to attract and develop future leaders in public service through rigorous selection processes and valuable professional opportunities in federal agencies.,"['leadership', 'development', 'federal', 'public service', 'advanced degrees', 'career opportunities', 'mentorship', 'government', 'fellowship', 'training']",Approximately $2 million annually (approximation for program operations),U.S. Office of Personnel Management budget,50 (program staff),Office of Personnel Management
515,Millennium Challenge Corporation,Millennium Challenge Corporation,['Active'],"The Millennium Challenge Corporation (MCC) is a United States foreign aid agency that provides development assistance aimed at reducing poverty through sustainable economic growth. It focuses on evidence-based approaches and partnerships to empower countries and catalyze investments in sectors such as education, health, and infrastructure.","['Poverty Reduction', 'Economic Growth', 'Development Assistance', 'Evidence-Based', 'Partnerships', 'International Assistance', 'Sustainable Development', 'Empowerment', 'Investments', 'Capacity Building']",$1.3 billion (FY 2023),U.S. Government Budget,200-300,Agency Reports
516,Drug Enforcement Administration,Drug Enforcement Administration,['Active'],"The Drug Enforcement Administration (DEA) is a federal law enforcement agency under the United States Department of Justice, tasked with combating drug smuggling and use within the United States. It regulates the manufacturing and distribution of controlled substances and implements policies to prevent drug abuse and trafficking.","['Drug Enforcement', 'Controlled Substances', 'Law Enforcement', 'Federal Agency', 'Substance Abuse', 'Drug Trafficking', 'Regulatory Compliance', 'National Security', 'Investigation', 'Public Health']",Approximately $3.2 billion (2023 budget),U.S. Federal Budget,"10,000+",Federal Agency Reports
517,US Trade and Development Agency,US Trade and Development Agency,Active,"The U.S. Trade and Development Agency (USTDA) is a federal agency that promotes U.S. exports and helps generate economic growth in emerging economies by funding infrastructure projects. USTDA facilitates partnerships between U.S. businesses and foreign entities, linking them through project preparation and building activities aimed at sustainable development.","['trade', 'development', 'infrastructure', 'exports', 'economic growth', 'partnerships', 'emerging economies', 'sustainable', 'job creation', 'project funding']",Not publicly disclosed,USTDA annual budget reports,Approximately 50,Federal agency workforce data
518,U.S. Geological Survey,U.S. Geological Survey,['Active'],"The U.S. Geological Survey (USGS) is a scientific agency of the United States government that provides reliable scientific information about the Earth, its natural resources, and the environment. It is involved in various research areas including geology, hydrology, biology, and mapping.","['geology', 'mapping', 'hydrology', 'biology', 'research', 'natural resources', 'environment', 'science', 'data', 'monitoring']",1.2 billion USD,USGS Budget Request,"8,800",USGS Human Resources
519,Bureau of the Fiscal Service,,['Not Active'],"The Bureau of the Fiscal Service is responsible for managing the government's finances, including the collection of revenue and the management of debt. However, this organization is no longer active as indicated by the lack of available information.","['government', 'finance', 'revenue', 'debt', 'management', 'treasury', 'bureau', 'fiscal', 'services', 'insolvency']",N/A,N/A,N/A,N/A
520,Election Assistance Commission,Election Assistance Commission,['Active'],"The U.S. Election Assistance Commission (EAC) is an independent, bipartisan commission whose mission is to help election officials improve the administration of elections and help Americans participate in the voting process. It offers resources, guidelines, tools, and grants to support election officials and enhance voting accessibility and security.","['Election', 'Voting', 'Administration', 'Guidelines', 'Accessibility', 'Grants', 'Security', 'Federal', 'Bipartisan', 'Engagement']",$75 million,HAVA Election Security grants distributed FY 2023,Approximately 50,EAC Impact Statistics in FY23
521,Jimmy Carter Library & Museum,Jimmy Carter Presidential Library and Museum,['Active'],"The Jimmy Carter Presidential Library and Museum is dedicated to preserving and providing access to the historical materials of President Jimmy Carter's administration and personal life. It offers educational resources, exhibits, and research opportunities related to the Carter presidency and the Carters' contributions to society.","['Presidential Library', 'Museum', 'Archives', 'Exhibits', 'Education', 'Research', 'Carter Presidency', 'History', 'Visitors', 'Community Engagement']",Not publicly available,National Archives and Records Administration,Not publicly available,National Archives and Records Administration
522,U.S. Geological Survey,,['Not Active'],"The U.S. Geological Survey (USGS) was a scientific agency that provided reliable scientific information about the natural resources and natural hazards of the United States. It conducted research and assessment related to water, geology, and biology and served as the primary source for data on various natural phenomena.","['Geology', 'Water Resources', 'Natural Hazards', 'Science', 'Research', 'Earthquakes', 'Floods', 'Maps', 'Wildlife', 'Data Collection']",Not Available,N/A,Not Available,N/A
523,FAA MMAC,,Not Active,"The FAA MMAC (Federal Aviation Administration Mike Monroney Aeronautical Center) was responsible for supporting aviation operations and services. However, the lack of recent information indicates that it may no longer be active.","['aviation', 'transportation', 'federal', 'regulation', 'safety', 'operations', 'training', 'aeronautics', 'government', 'infrastructure']",N/A,N/A,N/A,N/A
524,Federal Emergency Management Agency,Federal Emergency Management Agency,Active,"The Federal Emergency Management Agency (FEMA) is an agency of the United States Department of Homeland Security that is primarily responsible for coordinating the federal government's response to natural disasters and emergencies. FEMA administers the National Flood Insurance Program and provides resources for disaster preparedness, response, recovery, and mitigation.","['Emergency Management', 'Flood Insurance', 'Disaster Response', 'Natural Disasters', 'Preparedness', 'Public Assistance', 'Mitigation', 'Recovery', 'Risk Management', 'Federal Coordination']","Approximately $20 billion (annual budget, varies based on disaster response needs)",FEMA Annual Budget Request,"Approximately 20,000",FEMA Human Resources
525,"GSA, FAS, System for Award Management",,['Not Active'],The System for Award Management (SAM) is an official website of the U.S. government that consolidates the capabilities of multiple procurement systems and the Catalog of Federal Domestic Assistance. It helps manage the federal government's contract and grant processes.,"['Federal', 'Procurement', 'Contracts', 'Grants', 'Regulations', 'e-Government', 'Transparency', 'Compliance', 'Supplier Registration', 'Funding']",N/A,N/A,N/A,N/A
526,William Clinton Presidential Library,William J. Clinton Presidential Library & Museum,Active,"The William J. Clinton Presidential Library & Museum, part of the National Archives and Records Administration, is dedicated to preserving the documents and artifacts of President Bill Clinton's administration. It houses millions of pages of official records, provides insights into the American presidency, and offers educational programs and exhibits to the public.","['Presidential Library', 'Archives', 'Education', 'Exhibits', 'Artifacts', 'Museum', 'Research', 'Presidency', 'Clinton', 'Historical Preservation']",Not publicly available,Not applicable,Not publicly available,Not applicable
527,Democratic Whip's Office,,Not Active,The Democratic Whip's Office was responsible for promoting the legislative agenda of the Democratic Party in the House of Representatives and ensuring party unity on votes. It played a critical role in communicating with party members and mobilizing support for legislation.,"['Legislative', 'Democratic', 'Whip', 'Congress', 'Policy', 'Representation', 'Voting', 'Leadership', 'Communication', 'Unity']",N/A,N/A,N/A,N/A
528,Bureau of the Fiscal Service,,['Not Active'],"The Bureau of the Fiscal Service was responsible for managing the cash resources of the federal government, overseeing federal borrowing, and handling the management of government accounts. However, since there is no information available, it appears that the organization may no longer be functional.","['Fiscal Management', 'Government Accounts', 'Cash Resources', 'Federal Borrowing', 'Financial Reporting', 'Treasury Operations', 'Public Debt', 'Government Finance', 'Payment Processing', 'Budget Management']",N/A,N/A,N/A,N/A
529,Oak Ridge National Laboratory,,['Not Active'],"Oak Ridge National Laboratory was a multiprogram research facility and one of the largest science and energy national laboratories. It conducted diverse research initiatives in areas such as energy production, environmental science, and materials science.","['research', 'energy', 'science', 'laboratory', 'technology', 'environment', 'innovation', 'Oak Ridge', 'national', 'funding']",N/A,N/A,N/A,N/A
530,Research and Special Programs Administration / Volpe,Hydrogen Program,['Active'],"The Hydrogen Program, part of the Department of Energy, aims to advance the national clean hydrogen strategy by encouraging interagency collaboration to develop domestic supply chains and foster sustainable jobs in the hydrogen economy. This involves research and development efforts across multiple federal agencies to promote hydrogen production, delivery, storage, and applications for a low-carbon future.","['Hydrogen', 'Clean Energy', 'Sustainability', 'Interagency Collaboration', 'Research & Development', 'Decarbonization', 'Initiatives', 'Domestic Supply Chains', 'Market Development', 'Technology Validation']",Not available,Not specified,Not available,Not specified
531,Cybersecurity and Infrastructure Security Agency,,['Not Active'],The Cybersecurity and Infrastructure Security Agency (CISA) was responsible for protecting the nation's critical infrastructure from physical and cyber threats.,"['cybersecurity', 'infrastructure', 'security', 'threat prevention', 'risk management', 'national security', 'technology', 'resilience', 'information sharing', 'emergency response']",Not Available,N/A,Not Available,N/A
532,Office of Justice Programs,Office for Victims of Crime,['Active'],"The Office for Victims of Crime (OVC) is a component of the Office of Justice Programs, which provides funding and resources to support victims of crime through compensation, assistance programs, and victim services nationwide.","['victim assistance', 'crime support', 'compensation', 'resources', 'public safety', 'mental health', 'fraud prevention', 'reimbursement programs', 'community support', 'justice services']",Not Specifically Available,Office of Justice Programs Annual Reports,Not Specifically Available,Office of Justice Programs Organizational Structure
533,Office of Justice Programs,Coordinating Council on Juvenile Justice and Delinquency Prevention,['Active'],"The Coordinating Council on Juvenile Justice and Delinquency Prevention is an independent organization that examines how federal juvenile delinquency programs can be coordinated among federal, state, and local governments to better serve at-risk children and youth. It makes recommendations to the President and Congress at least annually.","['juvenile justice', 'delinquency prevention', 'at-risk youth', 'federal programs', 'cooperation', 'recommendations', 'independent council', 'child welfare', 'statutory compliance', 'program coordination']",Not Available,N/A,Not Available,N/A
534,Comptroller of the Currency,Comptroller of the Currency,['Active'],"The Office of the Comptroller of the Currency (OCC) is a bureau of the U.S. Department of the Treasury that regulates and supervises national banks and federal savings associations. The OCC aims to ensure a safe, sound, and fair banking system while fostering competition in the financial services industry and protecting consumers.","['Banking', 'Regulation', 'Supervision', 'Finance', 'Consumer Protection', 'National Banks', 'Federal Savings Associations', 'Enforcement', 'Compliance', 'Risk Management']",Not publicly available,Not publicly available,Not publicly available,Not publicly available
535,National Advanced Fire and Resource Institute,,['Active'],"The National Advanced Fire and Resource Institute focuses on fire management and resource conservation, providing training and resources necessary for effective fire protection and resource management.","['Fire Management', 'Resource Conservation', 'Training', 'Wildfire', 'Emergency Response', 'Public Safety', 'Natural Resources', 'Government Agency', 'Environmental Protection', 'Research']",N/A,N/A,N/A,N/A
536,Office of Justice Programs,Office for Victims of Crime,Active,"The Office for Victims of Crime (OVC) provides federal leadership in ensuring that all victims of crime receive the information and services they need to effectively recover. OVC administers the Crime Victims Fund, which supports victim service programs across the nation and works to promote victims' rights.","['victims', 'crime', 'funding', 'support', 'rights', 'compensation', 'assistance', 'justice', 'advocacy', 'community']",$3.2 billion (as of August 2024),Crime Victims Fund,Not specified,Not available
537,OPM Federal Employees Benefits,Office of Personnel Management,Active,"The OPM Federal Employees Benefits program provides life insurance and other benefits to federal employees and retirees, administering the Federal Employees' Group Life Insurance (FEGLI) program, which is the largest group life insurance program in the world. It offers term life insurance options and is designed to cover over 4 million federal employees and retirees, along with their families.","['Life Insurance', 'Federal Employees', 'Retirees', 'Benefits', 'Insurance Program', 'Group Life Insurance', 'OPM', 'Employee Coverage', 'Healthcare', 'Government Services']",Not publicly available,Not stated in current resources,Approx. 600,OPM.gov
538,Citizens Coinage Advisory Committee (Mint),Citizens Coinage Advisory Committee (Mint),['Active'],The Citizens Coinage Advisory Committee (CCAC) was established in 2003 by Congress to advise the Secretary of the Treasury on the themes and designs of all U.S. coins and medals. The committee serves as an informed and impartial resource representing the interests of American citizens and collectors.,"['coinage', 'designs', 'medals', 'advisory', 'Treasury', 'public interest', 'citizens', 'collectors', 'Congress', 'public law']",Not available,N/A,Not available,N/A
539,Office of Justice Programs,AMBER Alert Program,['Active'],"The AMBER Alert program is a child abduction emergency alert system in the United States that disseminates information about abducted children to the public, helping to ensure their swift recovery. It operates nationally across all 50 states and has been instrumental in recovering missing or abducted children through alerts sent via various media.","['Child Abduction', 'Emergency Alert', 'Public Safety', 'Recovery', 'Missing Children', 'Wireless Alerts', 'Legislation', 'Community Participation', 'Law Enforcement', 'Indian Country Initiative']",Not publicly available,Department of Justice Budget Reports,Not publicly available,Department of Justice Organizational Structure
540,Employment and Training Administration (ETA) - Office of Job Corps,Job Corps,['Active'],"Job Corps is the nation’s largest free, residential career training and education program for low-income young adults ages 16 through 24, offering career training, education, and supportive services.","['career training', 'education', 'youth programs', 'low-income', 'residential', 'employment', 'Job Corps', 'support services', 'success stories', 'vocational']",Not publicly available,Department of Labor budget allocations,"Approximately 2,000",Department of Labor reports
541,Federal Law Enforcement Training Center,Federal Law Enforcement Training Accreditation,Active,The Federal Law Enforcement Training Center (FLETC) is responsible for the training and accreditation of federal law enforcement personnel across the United States. FLETC provides training programs and certifies various law enforcement academies and training programs to ensure standardization and effectiveness in law enforcement training.,"['law enforcement', 'training', 'accreditation', 'federal', 'standards', 'security', 'programs', 'evaluation', 'assessors', 'certification']",Unknown,N/A,Unknown,N/A
542,Department of the Treasury - OCIO,,['Not Active'],"The Department of the Treasury's Office of the Chief Information Officer (OCIO) was responsible for overseeing IT strategies and operations within the Treasury Department. However, since the website is no longer active, the department may have undergone changes or ceased operations in this capacity.","['Treasury', 'Information Technology', 'IT Strategy', 'Operations', 'Government', 'OCIO', 'Department', 'Management', 'Services', 'Administration']",N/A,N/A,N/A,N/A
543,"GSA, IC, OGP Web Portolio",,['Not Active'],"The GSA IC OGP Web Portfolio was intended to provide resources and information regarding accessibility in government web services, but there is no active content available as the HTML shows no information found.","['accessibility', 'government', 'web services', 'GSA', 'information technology', 'website portfolio', 'accessibility standards', 'federal', 'user experience', 'digital inclusion']",Not Applicable,Not Applicable,Not Applicable,Not Applicable
544,Environmental Protection Agency,,['Not Active'],The Environmental Protection Agency (EPA) is a federal agency of the United States responsible for protecting human health and the environment by enforcing regulations based on laws passed by Congress.,"['environmental protection', 'regulation', 'pollution control', 'public health', 'sustainability', 'waste management', 'clean air', 'clean water', 'ecosystem conservation', 'climate change']",Approximately $9 billion (as of 2023),EPA Budget Justifications and Appropriations,"14,000",U.S. EPA Workforce Management Reports
545,Chief Human Capital Officers,Chief Human Capital Officers Council,Active,The Chief Human Capital Officers (CHCO) Council serves as the principal interagency forum for advising and coordinating activities related to the modernization of human resources systems and improving the quality of HR information across federal agencies. It focuses on developing policies and guidance for HR operations and enhancing workforce management.,"['Human Capital', 'Interagency Forum', 'Human Resources', 'Workforce Policy', 'Collaboration', 'Talent Management', 'Employee Development', 'Policy Guidance', 'Federal Workforce', 'HR Coordination']",Not available,N/A,Not available,N/A
546,International Trade Administration,,['Not Active'],"The International Trade Administration (ITA) was responsible for promoting trade by helping U.S. businesses compete in a global marketplace. However, the website currently has no information available, indicating that the organization may no longer be active.","['trade', 'commerce', 'international', 'business', 'competition', 'export', 'policy', 'support', 'development', 'market']",N/A,N/A,N/A,N/A
547,"GSA, IC, Acquisition",Chief Acquisition Officers Council (CAOC),Active,"The Chief Acquisition Officers Council (CAOC) is a collective of acquisition professionals from the Executive Branch committed to enhancing and overseeing the federal acquisition system. It focuses on fostering effective business practices that ensure timely delivery of high-quality products and services while upholding public policy objectives and the principles of integrity, fairness, competition, and openness in federal procurement.","['Acquisition', 'Federal Procurement', 'Business Practices', 'Integrity', 'Competition', 'Openness', 'Executive Branch', 'Stakeholder Engagement', 'Policy Development', 'Value Delivery']",Not Specified,Not Available,Not Specified,Not Available
548,OSTI,CENDI,Active,CENDI (Copyright Clearance Center) is focused on improving productivity within U.S. federal research and development efforts through collaborative participation among different federal agencies. It aims to enhance access and support for scientific and technical research results.,"['federal', 'collaboration', 'research', 'development', 'science', 'technical', 'productivity', 'access', 'efficiency', 'agency']",Not Available,N/A,Not Available,N/A
549,Bureau of the Fiscal Service,Bureau of the Fiscal Service,['Active'],"The Bureau of the Fiscal Service is a component of the U.S. Department of the Treasury responsible for managing the government's financial accounts, processing payments, and overseeing the federal government's cash management and debt issuance.","['Fiscal Service', 'Treasury', 'Government Finance', 'Debt Management', 'Payment Processing', 'Cash Management', 'Financial Accounts', 'Federal Agency', 'Public Finance', 'Accounting']",N/A,N/A,N/A,N/A
550,Comptroller of the Currency,Comptroller of the Currency,['Active'],"The Comptroller of the Currency (OCC) is a federal agency within the U.S. Department of the Treasury that oversees and regulates national banks and federal savings associations. Its mission is to ensure a safe, sound, and fair federal banking system, enforce laws and regulations, and provide valuable resources and guidance to banking institutions.","['Regulation', 'Banking', 'Oversight', 'Compliance', 'Financial Institutions', 'Consumer Protection', 'Economic Policy', 'Enforcement Actions', 'Licensing', 'Research']",Approximately $1.1 Billion (latest budget for 2024),U.S. Department of the Treasury budget documents,"Approximately 3,800",U.S. Office of Personnel Management
551,Federal Emergency Management Agency,Federal Emergency Management Agency,['Active'],"The Federal Emergency Management Agency (FEMA) is a U.S. government agency focused on coordinating response efforts for disasters, emergencies, and related preparedness activities. It provides resources, guidance, and training for individuals and businesses to ensure safety and effective recovery from various hazards including natural disasters.","['emergency', 'preparedness', 'disaster response', 'hazards', 'training', 'recovery', 'safety', 'planning', 'community support', 'business resources']",Approx. $15 billion annually,Federal Budget Allocation,"Approx. 20,000",Government Employment Data
552,Office of the Inspector General,,['Not Active'],"The Office of the Inspector General is a federal agency that conducts audits, investigations, and evaluations to promote efficiency and prevent fraud in HHS programs and operations. However, since there is no information found, it is assumed that the organization is no longer active.","['Inspector General', 'Audits', 'Investigation', 'Health', 'Human Services', 'Fraud prevention', 'Compliance', 'Federal oversight', 'Accountability', 'Efficiency']",Not Available,N/A,Not Available,N/A
553,United States Interagency Council on Homelessness,United States Interagency Council on Homelessness,['Active'],The U.S. Interagency Council on Homelessness is the only federal agency with the sole mission of preventing and ending homelessness in America. It coordinates the efforts of 19 federal agencies to implement best practices and foster collaborations to effectively utilize resources.,"['homelessness', 'prevention', 'coordination', 'federal', 'partnerships', 'evidence-based', 'strategy', 'funding', 'support', 'local governments']",Approx. $3 billion (FY 2023 estimated funding for homelessness programs),Department of Housing and Urban Development (HUD),Approximately 50,USICH Annual Reports
554,National Archives and Records Administration,National Archives and Records Administration,['Active'],"The National Archives and Records Administration (NARA) is responsible for preserving and providing access to the federal government’s historical documents and records. It conducts web harvests to capture content from federal agency websites and Congressional websites, ensuring that these materials are preserved for future generations and remain accessible to the public.","['Archives', 'Records', 'Preservation', 'Federal', 'Government', 'Web Harvesting', 'Historical', 'Access', 'Congressional', 'Documentation']",N/A,N/A,N/A,N/A
555,Idaho National Laboratory,,['Active'],"The Idaho National Laboratory (INL) conducts research and development in various fields, primarily focused on nuclear energy, integrated energy, and national security. It aims to advance human knowledge and develop practical, clean, and sustainable solutions to global energy problems, while also contributing to education and community outreach through programs in STEM and economic development.","['Nuclear Energy', 'Integrated Energy', 'National Security', 'Sustainable Solutions', 'Research and Development', 'Energy Innovation', 'STEM Education', 'Community Outreach', 'Environmental Policy', 'Technology Transfer']",$0B,FY2023 metrics on budget,0,Not provided
556,Alcohol and Tobacco Tax and Trade Bureau,Alcohol and Tobacco Tax and Trade Bureau,['Active'],"The Alcohol and Tobacco Tax and Trade Bureau (TTB) is responsible for regulating and collecting alcohol and tobacco excise taxes, as well as ensuring compliance with industry laws and regulations pertaining to these products. Its primary goals are to protect consumers and support the industry's integrity.","['Regulation', 'Taxation', 'Alcohol', 'Tobacco', 'Compliance', 'Trade', 'Excise taxes', 'Consumer protection', 'Industry integrity', 'Government agency']",Unknown,N/A,Unknown,N/A
557,National Counterterrorism Center,National Counterterrorism Center,['Active'],"The National Counterterrorism Center (NCTC) is the primary organization in the U.S. government for analyzing and integrating intelligence related to terrorism. NCTC leads the national counterterrorism effort by synthesizing both foreign and domestic information, providing analysis, and coordinating action among various agencies to mitigate terrorist threats against the United States.","['Counterterrorism', 'Intelligence Analysis', 'National Security', 'Information Sharing', 'Threat Assessment', 'Operational Planning', 'Homeland Security', 'International Terrorism', 'Collaboration', 'Government Agency']",Not publicly disclosed,Federal Budget Allocations,"More than 1,000",NCTC's Workforce Description
558,Office for Domestic Preparedness,Federal Emergency Management Agency (FEMA),Not Active,"The Office for Domestic Preparedness (ODP) was part of the Department of Homeland Security and focused on preparing first responders for potential domestic threats and emergencies. As part of its functions, it provided training and resources to enhance local, state, and federal response capabilities.","['first responders', 'training', 'preparedness', 'emergency', 'homeland security', 'public safety', 'resource allocation', 'local agencies', 'disaster response', 'federal support']",N/A,N/A,N/A,N/A
559,US Court of Appeals for Veterans Claims,,['Not Active'],The US Court of Appeals for Veterans Claims is a federal judicial court that reviews decisions made by the Board of Veterans' Appeals.,"['Veterans', 'Appeals', 'Court', 'Judicial', 'Claims', 'Federal', 'Administrative', 'Legal', 'Decisions', 'Justice']",N/A,N/A,N/A,N/A
560,CNSS Secretariat,,['Not Active'],"The CNSS Secretariat, part of the Department of Defense, was responsible for coordination of cybersecurity policies, programs, and practices. However, due to the lack of information, it appears the organization may no longer be active.","['cybersecurity', 'policy coordination', 'Department of Defense', 'security programs', 'information assurance', 'national security', 'risk management', 'network defense', 'information technology', 'government agency']",Not Available,Not Available,Not Available,Not Available
561,Bureau of the Fiscal Service,Bureau of the Fiscal Service,['Active'],"The Bureau of the Fiscal Service is an agency within the U.S. Department of the Treasury responsible for managing the government's finances, including the collection, management, and disbursement of Federal funds. It oversees public debt, payments to vendors, and provides various financial services to federal agencies. The agency also operates the Treasury Hunt tool, allowing users to search for unclaimed Treasury securities.","['Fiscal Management', 'Public Debt', 'Treasury Securities', 'Financial Services', 'Government Agency', 'Unclaimed Funds', 'Savings Bonds', 'Treasury Hunt', 'Debt Management', 'Federal Funds']",Unknown,Not publicly disclosed,"Approximately 1,200",Government Accountability Office
562,Division of Consumer & Business Education (DCBE),,['Not Active'],The Division of Consumer & Business Education was intended to provide education and resources to consumers and businesses regarding fair trade practices.,"['consumer protection', 'business education', 'fair trade', 'consumer rights', 'educational resources', 'FTC', 'business practices', 'consumer advocacy', 'regulation', 'public awareness']",Not Available,,Not Available,
563,Office of Directorate of National Intelligence,Office of the Director of National Intelligence,Active,"The Office of the Director of National Intelligence (ODNI) leads intelligence integration and oversees the U.S. Intelligence Community, facilitating collaboration among its 18 agencies to ensure comprehensive analysis and information sharing for national security and foreign relations.","['Intelligence', 'National Security', 'Integration', 'Collaboration', 'Counterterrorism', 'Cybersecurity', 'Oversight', 'Analysis', 'Civil Liberties', 'Employment']",Not publicly disclosed,Federal Government Budget,"1,000-1,500",Office of the Director of National Intelligence
564,Office of Director of National Intelligence - Public Affairs Office,Office of the Director of National Intelligence,['Active'],"The Office of the Director of National Intelligence (ODNI) leads intelligence integration and coordinates the activities of the U.S. Intelligence Community, providing insightful intelligence to ensure national security and addressing key challenges such as counterterrorism, cyber threats, and counterintelligence.","['Intelligence', 'National Security', 'Integration', 'Counterterrorism', 'Cybersecurity', 'Oversight', 'Public Affairs', 'Strategic Communications', 'Civil Liberties', 'Employment']",Approximately $62 billion (FY2023 Intelligence Budget),U.S. Office of the Director of National Intelligence,"Approximately 1,200",U.S. Office of the Director of National Intelligence
565,"Office of Public Health and Science, Office on Women's Health",Office on Women's Health,['Active'],"The Office on Women's Health is part of the U.S. Department of Health and Human Services that focuses on improving the health of women through education and resource provision, including topics related to fitness, nutrition, illnesses, mental health, and relationships.","[""Women's Health"", 'Public Health', 'Nutrition', 'Fitness', 'Mental Health', 'Safety', 'Relationships', 'Education', 'Youth', 'Empowerment']",Information not publicly available,N/A,Information not publicly available,N/A
566,"Office of Public Health and Science, Office on Women's Health",Office on Women's Health,['Active'],"The Office on Women's Health (OWH) is a component of the U.S. Department of Health and Human Services that focuses on improving the health of women and girls through policy development, public health programs, and health education initiatives.","[""Women's Health"", 'Public Health', 'Health Education', 'Policy Development', 'Maternal Health', ""Women's Health Issues"", 'Health Resources', 'Community Outreach', 'Public Awareness', 'Preventive Care']",Unknown,Not publicly available,Unknown,Not publicly available
567,AmeriCorps,,['Not Active'],"AmeriCorps is a network of local, state, and national service programs that engages more than 75,000 Americans in intensive service each year.","['National Service', 'Volunteerism', 'Community Engagement', 'Civic Responsibility', 'Service Projects', 'Youth Development', 'Disaster Response', 'Education', 'Nonprofit Partnerships', 'Social Impact']",Not Available,N/A,Not Available,N/A
568,AmeriCorps,,Not Active,AmeriCorps was a program designed to engage individuals in public service to meet community needs across the United States. It aimed to enhance civic engagement and volunteerism while providing support to local communities through various service initiatives.,"['Service', 'Volunteering', 'Community', 'Engagement', 'Support', 'Civic', 'Nonprofit', 'Partnership', 'Empowerment', 'Impact']",Not Available,,Not Available,
569,OPM Center for Leadership Development,USALearning,Active,"USALearning serves as the government's hub for digital learning products and services, focusing on category management to improve efficiency and eliminate redundancies in government training and development programs. It provides a range of services from learning ecosystem support to training design and development.","['Digital Learning', 'Training', 'Category Management', 'Efficiency', 'Government Services', 'Human Capital', 'Development', 'Shared Services', 'Training Design', 'Support']",Not Available,N/A,Not Available,N/A
570,Comptroller of the Currency,,['Not Active'],"The Comptroller of the Currency is a bureau of the U.S. Department of the Treasury responsible for regulating and supervising national banks and federal savings associations, ensuring their safety and soundness.","['banking', 'regulation', 'supervision', 'national banks', 'federal savings associations', 'financial stability', 'compliance', 'Treasury', 'oversight', 'safety']",Not Available,N/A,Not Available,N/A
571,National Highway Traffic Safety Administration,,Not Active,"The National Highway Traffic Safety Administration (NHTSA) is a federal agency responsible for ensuring the safety of motor vehicle transportation in the United States. This includes setting and enforcing vehicle performance standards, promoting safe driving behaviors, and reducing traffic accidents.","['Traffic Safety', 'Motor Vehicles', 'Accident Prevention', 'Vehicle Standards', 'Road Safety', 'Public Awareness', 'Regulations', 'Safety Programs', 'Crash Testing', 'Transportation Department']",Not available,Not available,Not available,Not available
572,"Department of Homeland Security, Office of the Chief Information Officer",National Information Exchange Model (NIEM),['Active'],NIEM facilitates collaboration and information sharing among various organizations to promote effective data exchange. It provides a standardized vocabulary and framework that can be implemented across public and private sectors.,"['Information Exchange', 'Data Sharing', 'Standard Vocabulary', 'Interagency Collaboration', 'Public Sector', 'Private Sector', 'NIEMOpen', 'Governance', 'Registry', 'Training']",Not publicly available or specified,Funding may come from federal budget allocations to DHS but specific figures are not disclosed.,Approximately 100-250 employees,General estimates based on similar entities within the DHS and federal government structure.
573,Bureau of the Fiscal Service,Bureau of the Fiscal Service,['Not Active'],"The Bureau of the Fiscal Service was responsible for managing the federal government's finances, including the collection, disbursement, and borrowing of federal funds. Its responsibilities included managing the government's accounts and the federal debt, as well as providing financial management support to other federal agencies.","['Finance', 'Federal', 'Treasury', 'Fiscal Management', 'Debt Management', 'Revenue Collection', 'Disbursement', 'Government Agency', 'Accounts Management', 'Public Funds']",N/A,N/A,N/A,N/A
574,"GSA, FAS, System for Award Management",eSRS (Electronic Subcontracting Reporting System),['Active'],"The Electronic Subcontracting Reporting System (eSRS) is an official platform maintained by the General Services Administration (GSA) for federal contractors to report on subcontracting plans and accomplishments. It serves to streamline the reporting process and increase transparency regarding subcontracting activities across federal agencies. The system replaces traditional paper filings with an electronic interface, improving efficiency and data accessibility.","['Subcontracting', 'Reporting', 'Federal Procurement', 'GSA', 'eSRS', 'Contractors', 'Transparency', 'Electronic Government', 'Small Business Administration', 'Data Collection']",Not publicly available,Federal budget allocations as part of GSA operations,Not directly available,General Services Administration employment statistics
575,Office of Chief Information Officer,,['Active'],"The Office of Chief Information Officer (OCIO) within the Department of Education oversees the technological infrastructure and information systems that support the National Assessment of Educational Progress (NAEP), which assesses students' knowledge and skills across various subjects in the United States.","['Education', 'Assessment', 'Technology', 'Data Analysis', 'NAEP', 'Student Performance', 'Information Systems', 'Digital Tools', 'Public Education', 'Federal Oversight']",N/A,N/A,N/A,N/A
